<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	16:00:00	4266.10	4282.50	4252.79	4272.15	12336	0	40
2022.08.17	20:00:00	4272.40	4302.39	4267.67	4278.40	11601	0	40
2022.08.18	00:00:00	4276.32	4276.32	4261.64	4265.67	2385	0	60
2022.08.18	04:00:00	4265.54	4272.19	4265.05	4266.48	2863	0	60
2022.08.18	08:00:00	4266.36	4270.74	4254.91	4270.49	6643	0	60
2022.08.18	12:00:00	4270.24	4289.62	4269.62	4280.85	6495	0	60
2022.08.18	16:00:00	4281.35	4288.10	4261.87	4270.63	11832	0	40
2022.08.18	20:00:00	4270.38	4292.61	4268.65	4285.05	6766	0	40
2022.08.19	00:00:00	4283.74	4284.77	4276.01	4277.50	1330	0	60
2022.08.19	04:00:00	4277.75	4282.26	4273.75	4274.76	2391	0	60
2022.08.19	08:00:00	4274.51	4275.26	4247.07	4251.58	6342	0	60
2022.08.19	12:00:00	4251.58	4256.19	4238.11	4246.93	6742	0	60
2022.08.19	16:00:00	4246.68	4258.76	4223.45	4239.28	10633	0	40
2022.08.19	20:00:00	4239.53	4242.79	4218.45	4225.85	6349	0	40
2022.08.22	00:00:00	4218.82	4218.82	4204.04	4206.02	3534	0	60
2022.08.22	04:00:00	4205.77	4218.78	4205.27	4208.83	2947	0	60
2022.08.22	08:00:00	4208.83	4211.83	4176.10	4182.34	7929	0	60
2022.08.22	12:00:00	4182.21	4186.36	4173.38	4176.84	6210	0	60
2022.08.22	16:00:00	4176.60	4180.09	4148.99	4157.40	11090	0	40
2022.08.22	20:00:00	4157.40	4157.89	4129.76	4144.15	6700	0	40
2022.08.23	00:00:00	4144.41	4150.93	4141.42	4142.20	2018	0	60
2022.08.23	04:00:00	4142.32	4149.44	4139.25	4139.99	2976	0	60
2022.08.23	08:00:00	4139.74	4154.47	4115.83	4146.22	8471	0	60
2022.08.23	12:00:00	4145.97	4150.99	4134.31	4135.94	6053	0	60
2022.08.23	16:00:00	4136.06	4159.91	4123.43	4136.46	14916	0	40
2022.08.23	20:00:00	4136.71	4141.44	4125.42	4125.93	8127	0	40
2022.08.24	00:00:00	4126.17	4130.67	4122.95	4124.45	2305	0	60
2022.08.24	04:00:00	4124.20	4125.21	4111.57	4122.55	3546	0	60
2022.08.24	08:00:00	4122.80	4133.44	4108.69	4131.58	8318	0	60
2022.08.24	12:00:00	4131.45	4140.11	4123.08	4131.58	6522	0	60
2022.08.24	16:00:00	4131.83	4156.71	4119.44	4136.34	11332	0	40
2022.08.24	20:00:00	4136.21	4150.14	4130.55	4147.38	6143	0	40
2022.08.25	00:00:00	4146.35	4151.86	4140.87	4151.11	1477	0	60
2022.08.25	04:00:00	4150.86	4158.57	4150.12	4157.82	1735	0	60
2022.08.25	08:00:00	4157.94	4184.93	4155.94	4176.27	6890	0	60
2022.08.25	12:00:00	4176.27	4177.52	4153.56	4158.59	6502	0	60
2022.08.25	16:00:00	4158.84	4183.83	4145.72	4160.40	11820	0	40
2022.08.25	20:00:00	4160.53	4201.29	4158.13	4193.30	6022	0	40
2022.08.26	00:00:00	4196.90	4198.64	4190.90	4196.65	1871	0	60
2022.08.26	04:00:00	4196.64	4198.44	4193.28	4193.82	1609	0	60
2022.08.26	08:00:00	4193.69	4197.71	4183.25	4186.76	4794	0	60
2022.08.26	12:00:00	4187.01	4200.58	4178.80	4199.57	6134	0	60
2022.08.26	16:00:00	4199.58	4215.43	4098.98	4108.73	21201	0	40
2022.08.26	20:00:00	4108.48	4111.98	4042.87	4043.24	10025	0	40
2022.08.29	00:00:00	4022.80	4031.17	4009.13	4011.12	6156	0	60
2022.08.29	04:00:00	4011.37	4030.58	4006.50	4025.35	5247	0	60
2022.08.29	08:00:00	4025.60	4040.09	4015.37	4017.64	9022	0	60
2022.08.29	12:00:00	4017.89	4033.48	4015.16	4025.25	6620	0	60
